Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro)
Toyota,Prius,0.8,Hatchback,0.194999194999195,0.3333333333333333,Hybrid,Automatic,0.07565130260521043
Renault,Grand Scenic,0.86,Universal,0.134999134999135,0.2708333333333333,Diesel,Manual,0.08366733466933868
Renault,Laguna,0.82,Universal,0.10999910999911,0.2708333333333333,Diesel,Manual,0.06362725450901803
Opel,Astra,0.7,Universal,0.1999991999992,0.2916666666666667,Metan/Propan,Manual,0.03907815631262525
Mercedes,Vito,0.58,Microvan,0.2999992999993,0.4166666666666667,Diesel,Manual,0.032965931863727455
Volkswagen,Passat,0.78,Universal,0.28999928999929,0.24791666666666667,Petrol,Manual,0.05410821643286573
Volkswagen,Touareg,0.78,SUV,0.21999921999922,0.4583333333333333,Diesel,Automatic,0.1683366733466934
Mercedes,Series (W124),0.4,Sedan,0.23999923999924,0.4375,Petrol,Manual,0.02655310621242485
BMW,5 Series,0.66,Sedan,0.324999324999325,0.020833333333333332,Diesel,Manual,0.03206412825651302
Mercedes,E Class,0.78,Sedan,0.20999920999921,0.4166666666666667,Diesel,Automatic,0.11222444889779559
Mercedes,CLS Class,0.7,Coupe,0.2999992999993,0.625,Diesel,Automatic,0.11623246492985972
BMW,7 Series,0.54,Sedan,0.284999284999285,0.6875,Petrol,Manual,0.03797595190380761
Volkswagen,Golf,0.72,Universal,0.23837023837023838,0.25,Petrol,Automatic,0.04809619238476954
Volkswagen,Golf Plus,0.78,Hatchback,0.14999914999915,0.20833333333333334,Petrol,Manual,0.0531062124248497
Volvo,XC60,0.82,Crossover,0.17999917999918,0.4583333333333333,Diesel,Automatic,0.15731462925851702
Nissan,Qashqai,0.8,Crossover,0.250999250999251,0.2708333333333333,Diesel,Manual,0.0811623246492986
Hyundai,Matrix,0.68,Universal,0.382999382999383,0.2708333333333333,Diesel,Manual,0.03006012024048096
Audi,A3,0.76,Hatchback,0.247999247999248,0.375,Diesel,Automatic,0.09117234468937875
Mercedes,E Class,0.66,Universal,0.314999314999315,0.3333333333333333,Metan/Propan,Manual,0.06713426853707415
GAZ,31029,0.42,Sedan,0.067999067999068,0.46770833333333334,Petrol,Manual,0.02026052104208417
Renault,Megane,0.8,Universal,0.170999170999171,0.2708333333333333,Diesel,Manual,0.05511022044088176
Tesla,Model S,0.84,Hatchback,0.112999112999113,0.034791666666666665,Electric,Automatic,0.2685370741482966
Mercedes,E Class,0.86,Sedan,0.2754992754992755,0.4166666666666667,Diesel,Automatic,0.1818637274549098
Lincoln,MKZ,0.92,Sedan,0.156999156999157,0.3745833333333333,Hybrid,Automatic,0.17635270541082165
Lexus,NX Series,0.92,Crossover,0.075999075999076,0.3745833333333333,Petrol,Automatic,0.27854709418837675
Dodge,Caliber,0.74,Hatchback,0.11348511348511349,0.3745833333333333,Metan/Propan,Automatic,0.043036072144288576
Audi,100,0.44,Sedan,0.234999234999235,0.375,Petrol,Manual,0.02755511022044088
Porsche,Cayenne,0.82,Crossover,0.25344325344325347,0.5833333333333334,Diesel,Automatic,0.3008216432865731
Lexus,RX Series,0.76,SUV,0.24999924999925,0.6875,Hybrid,Automatic,0.1782565130260521
Volkswagen,Passat,0.82,Sedan,0.178999178999179,0.25,Metan/Propan,Automatic,0.09619238476953908
