Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro)
Toyota,Prius,0.3819568339777266,Hatchback,0.13453491116934113,-0.10971540409891246,Hybrid,Automatic,-0.17508328998896824
Renault,Grand Scenic,0.7960934612066605,Universal,-0.4707518852256157,-0.601963455545718,Diesel,Manual,-0.09102260955335709
Renault,Laguna,0.5200023763873712,Universal,-0.7229547170568477,-0.601963455545718,Diesel,Manual,-0.301174310642385
Opel,Astra,-0.30827087807049647,Universal,0.18497547753558755,-0.43788077173011614,Metan/Propan,Manual,-0.5586101444764441
Mercedes,Vito,-1.136544132528364,Microvan,1.1937868048605156,0.5466153311634948,Diesel,Manual,-0.6227064133085977
Volkswagen,Passat,0.24391129156808203,Universal,1.0929056721280228,-0.78245440774288,Petrol,Manual,-0.4009963686596732
Volkswagen,Touareg,0.24391129156808203,SUV,0.3867377430005732,0.8747806987946986,Diesel,Automatic,0.7968683275477857
Mercedes,Series (W124),-2.3789540142151657,Sedan,0.5885000084655587,0.7106980149790967,Petrol,Manual,-0.6899549576570865
BMW,5 Series,-0.5843619628897857,Sedan,1.4459896366917475,-2.57095566133294,Diesel,Manual,-0.6321632398576038
Mercedes,E Class,0.24391129156808203,Sedan,0.28585661026808035,0.5466153311634948,Diesel,Automatic,0.20844356449850762
Mercedes,CLS Class,-0.30827087807049647,Coupe,1.1937868048605156,2.187442169319513,Diesel,Automatic,0.2504739047163132
BMW,7 Series,-1.4126352173476533,Sedan,1.0424651057617764,2.6796902207663185,Petrol,Manual,-0.5701684880363407
Volkswagen,Golf,-0.17022533566085182,Universal,0.5720664719434357,-0.7660461393613198,Petrol,Automatic,-0.46404187898638155
Volkswagen,Golf Plus,0.24391129156808203,Hatchback,-0.3194301861268765,-1.0942115069925236,Petrol,Manual,-0.41150395371412457
Volvo,XC60,0.5200023763873712,Crossover,-0.01678678792939807,0.8747806987946986,Diesel,Automatic,0.6812848919488204
Nissan,Qashqai,0.3819568339777266,Crossover,0.6994692544713008,-0.601963455545718,Diesel,Manual,-0.11729157218948558
Hyundai,Matrix,-0.4463164204801411,Universal,2.0311002065402057,-0.601963455545718,Diesel,Manual,-0.6531784099665067
Audi,A3,0.10586574915843741,Hatchback,0.669204914651553,0.21844996353229118,Diesel,Automatic,-0.01232079749551615
Mercedes,E Class,-0.5843619628897857,Universal,1.3451085039592547,-0.10971540409891246,Metan/Propan,Manual,-0.26439776295180506
GAZ,31029,-2.240908471805521,Sedan,-1.1466554745333175,0.9486179065117193,Petrol,Manual,-0.7559425917990413
Renault,Megane,0.3819568339777266,Universal,-0.10757980738864159,-0.601963455545718,Diesel,Manual,-0.3904887836052218
Tesla,Model S,0.6580479187970159,Hatchback,-0.6926903772370999,-2.461020263176487,Electric,Automatic,1.847626832992925
Mercedes,E Class,0.7960934612066605,Sedan,0.9466280296659082,0.5466153311634948,Diesel,Automatic,0.9387207257828795
Lincoln,MKZ,1.2102300884355943,Sedan,-0.2488133932141315,0.21516830985597915,Hybrid,Automatic,0.8809290079833968
Lexus,NX Series,1.2102300884355943,Crossover,-1.0659505683473232,0.21516830985597915,Petrol,Automatic,1.9525976076868945
Dodge,Caliber,-0.03217979325120721,Hatchback,-0.6877875541863007,0.21516830985597915,Metan/Propan,Automatic,-0.5171051835113611
Audi,100,-2.1028629293958763,Sedan,0.5380594420993123,0.21844996353229118,Petrol,Manual,-0.6794473726026351
Porsche,Cayenne,0.5200023763873712,Crossover,0.724124603311122,1.8592768016883094,Diesel,Automatic,2.186181223447349
Lexus,RX Series,0.10586574915843741,SUV,0.6893811411980516,2.6796902207663185,Hybrid,Automatic,0.9008934195868544
Volkswagen,Passat,0.5200023763873712,Sedan,-0.02687490120264735,-0.7660461393613198,Metan/Propan,Automatic,0.040322203627285336
BMW,X1,0.9341390036163051,Crossover,-0.11991756992182546,0.21844996353229118,Diesel,Automatic,0.7850998322868001
Mercedes,GLC Coupe,1.2102300884355943,Crossover,-1.1130317929935776,1.0388633826103004,Diesel,Automatic,3.571291085325132
Opel,Vectra,-1.9648173869862318,Sedan,1.597311335790487,-0.10971540409891246,Petrol,Manual,-0.8318073558921804
BMW,7 Series,-0.17022533566085182,Sedan,1.1937868048605156,1.8592768016883094,Diesel,Automatic,0.21895114955295902
Volkswagen,Touran,-0.5843619628897857,Minivan,0.99202453939553,-2.7350383451485416,Diesel,Automatic,-0.4325191238230274
Volkswagen,Passat,0.24391129156808203,Universal,0.4674426491865674,-0.7660461393613198,Metan/Propan,Automatic,-0.3904887836052218
Toyota,Auris,0.24391129156808203,Sedan,0.03365377843684833,-0.7660461393613198,Diesel,Manual,-0.30642810316961067
Nissan,Qashqai,0.10586574915843741,Hatchback,0.189162044543986,-0.601963455545718,Diesel,Manual,-0.33795085833296484
BMW,3 Series,1.0721845460259498,Minivan,-0.4606637719523664,0.21844996353229118,Diesel,Automatic,0.3975800954786327
BMW,5 Series,-0.7224075052994303,Sedan,0.6893811411980516,1.8592768016883094,Petrol,Automatic,-0.20240301113054185
Dacia,Logan,0.7960934612066605,Sedan,0.13453491116934113,-1.0942115069925236,Metan/Propan,Manual,-0.56922280538144
Dacia,Duster,0.9341390036163051,SUV,-0.11766792066189087,-0.601963455545718,Diesel,Manual,-0.06475364691722861
Volkswagen,Golf,0.24391129156808203,Universal,0.09922651471296866,-0.7660461393613198,Petrol,Manual,-0.3904887836052218
Volkswagen,Passat,-2.3789540142151657,Sedan,1.1130818986745215,-0.10971540409891246,Petrol,Manual,-0.8685839035827603
BMW,3 Series,-0.5843619628897857,Sedan,0.6893811411980516,0.21844996353229118,Diesel,Manual,-0.516684880109183
Nissan,Qashqai,0.9341390036163051,Crossover,-0.23872527994088225,-0.601963455545718,Diesel,Manual,0.2452201121890875
Peugeot,3008,1.348275630845239,Crossover,-0.5010162250453636,-0.601963455545718,Diesel,Automatic,0.7443304022755287
BMW,X5,-0.4463164204801411,SUV,0.795306330567169,1.8592768016883094,Petrol,Automatic,-0.043843552658870334
Renault,Megane,-0.4463164204801411,Universal,-1.720558150535196,-0.601963455545718,Diesel,Manual,-0.6531784099665067
Nissan,Qashqai,0.6580479187970159,SUV,-0.01678678792939807,-0.601963455545718,Diesel,Manual,-0.043843552658870334
Ford,Transit Connect,0.5200023763873712,Minivan,-0.3027040943198292,-0.10971540409891246,Diesel,Manual,-0.5797303904358914
Renault,Scenic,0.9341390036163051,Microvan,0.038496072808007986,-0.6659557022338026,Diesel,Manual,-0.19609846009787102
BMW,7 Series,0.10586574915843741,Sedan,0.3384156804217091,1.8592768016883094,Diesel,Automatic,0.7443304022755287
Volkswagen,Polo,-0.17022533566085182,Hatchback,1.2541944271407324,-0.7660461393613198,Diesel,Manual,-0.647924617439281
BMW,5 Series,0.7960934612066605,Sedan,0.5002290173246275,0.21844996353229118,Diesel,Automatic,0.9019441780922997
Vaz,2121niva,-0.5843619628897857,Minivan,-1.7115898178352773,-0.2737980879145143,Petrol,Manual,-0.8002846007288261
BMW,5 Series,-1.4126352173476533,Sedan,-1.720558150535196,1.0388633826103004,Petrol,Manual,-0.6531784099665067
Nissan,Pulsar,0.7960934612066605,Hatchback,-0.9539725110142563,-1.0942115069925236,Petrol,Manual,-0.15406811988006544
Toyota,Avensis,-1.136544132528364,Sedan,2.404360397650429,-0.43788077173011614,Metan/Propan,Manual,-0.674298655925954
Honda,CR-V,-0.8604530477090749,Universal,0.9425927843566085,0.21844996353229118,Petrol,Manual,-0.369473613496319
BMW,5 Series,0.9341390036163051,Sedan,-0.014405993196911238,0.21844996353229118,Diesel,Automatic,1.2697096549980984
Honda,CR-V,0.24391129156808203,Crossover,0.013477551890349772,0.5466153311634948,Diesel,Manual,0.37645984951918543
Nissan,Note,0.3819568339777266,Hatchback,0.13453491116934113,-0.601963455545718,Diesel,Manual,-0.43777291635025306
Volkswagen,Passat,-2.1028629293958763,Universal,1.307318431637663,0.21844996353229118,Metan/Propan,Manual,2.0577785340819528
Opel,Astra,0.24391129156808203,Hatchback,0.08409434480309473,-0.9301288231769216,Diesel,Manual,-0.30642810316961067
Skoda,Rapid,1.0721845460259498,Universal,-0.6624260374173521,-0.4411624254064282,Petrol,Automatic,0.0928601288995423
Volkswagen,Sharan,-0.30827087807049647,Minivan,0.6893811411980516,0.21844996353229118,Diesel,Manual,-0.26439776295180506
Nissan,Qashqai,0.9341390036163051,Crossover,-0.3295182994001258,-1.0942115069925236,Petrol,Automatic,0.324027000097473
Skoda,Superb,1.0721845460259498,Sedan,-0.11766792066189087,0.21844996353229118,Diesel,Automatic,0.8483554943145976
Toyota,Land Cruiser,-0.9984985901187196,SUV,0.6893811411980516,4.64868242655354,Metan/Propan,Automatic,0.06028661523074298
Toyota,Corolla,-0.30827087807049647,Universal,0.7499098208375472,-0.7660461393613198,Diesel,Manual,-0.41255471221956974
Mazda,Tribute,-0.8604530477090749,SUV,0.739821707564298,0.21844996353229118,Petrol,Manual,-0.5701684880363407
Chevrolet,Volt,0.3819568339777266,Hatchback,0.08409434480309473,-0.7660461393613198,Plug-in Hybrid,Automatic,-0.027977099226648726
Mercedes,GLE Coupe,1.4863211732548836,Crossover,-1.5905324585562859,1.8592768016883094,Petrol,Automatic,4.36944724606126
Volkswagen,Passat,-0.8604530477090749,Universal,0.8911434066630372,-0.10971540409891246,Petrol,Manual,-0.7214777128204407
Volkswagen,Touareg,0.24391129156808203,SUV,0.5380594420993123,1.8592768016883094,Diesel,Automatic,1.2119179371986157
BMW,5 Series,-1.136544132528364,Sedan,0.7358268147080913,1.0388633826103004,Petrol,Manual,-0.5165798042586386
Renault,Megane,0.10586574915843741,Universal,-0.16810848702813727,-0.601963455545718,Diesel,Manual,-0.4641469548369261
